artist,song,bass_path,instrument_program,instrument_name,n_notes,avg_pitch,bpm
ABC,4 Ever 2 Gether.mid,ABC__4_Ever_2_Gether.mid,35,Fretless Bass,518,39.88803088803089,89.99995500002248
ABC,"Look of Love, Part 1.mid","ABC__Look_of_Love,_Part_1.mid",39,Synth Bass 2,590,30.89322033898305,120.99994353335967
ABC,Poison Arrow.mid,ABC__Poison_Arrow.mid,33,Electric Bass (finger),613,36.22675367047308,126.00012600012602
Bronski Beat,Small Town Boy.mid,Bronski_Beat__Small_Town_Boy.mid,35,Fretless Bass,1344,43.407738095238095,126.99998518333504
Culture Club,Church of the Poison Mind.mid,Culture_Club__Church_of_the_Poison_Mind.mid,35,Fretless Bass,699,36.63376251788269,130.00013000013
Culture Club,Do You Really Want to Hurt Me.1.mid,Culture_Club__Do_You_Really_Want_to_Hurt_Me.1.mid,35,Fretless Bass,531,37.63841807909605,82.00000693333426
Culture Club,Do You Really Want to Hurt Me.mid,Culture_Club__Do_You_Really_Want_to_Hurt_Me.mid,35,Fretless Bass,531,37.63841807909605,104.00001386666852
Depeche Mode,Barrel Of A Gun.mid,Depeche_Mode__Barrel_Of_A_Gun.mid,34,Electric Bass (pick),1449,40.690131124913734,82.9999502000299
Depeche Mode,Black Celebration.1.mid,Depeche_Mode__Black_Celebration.1.mid,39,Synth Bass 2,1256,38.0,120.0
Depeche Mode,Black Celebration.2.mid,Depeche_Mode__Black_Celebration.2.mid,39,Synth Bass 2,1256,38.0,120.0
Depeche Mode,Black Celebration.3.mid,Depeche_Mode__Black_Celebration.3.mid,30,Distortion Guitar,1256,38.0,120.0
Depeche Mode,Black Celebration.mid,Depeche_Mode__Black_Celebration.mid,30,Distortion Guitar,1256,38.0,120.0
Depeche Mode,Blasphemous Rumours.1.mid,Depeche_Mode__Blasphemous_Rumours.1.mid,90,Pad 3 (polysynth),276,48.26086956521739,109.99990833340973
Depeche Mode,Blasphemous Rumours.2.mid,Depeche_Mode__Blasphemous_Rumours.2.mid,52,Choir Aahs,276,48.26086956521739,110.00011000011
Depeche Mode,Blasphemous Rumours.mid,Depeche_Mode__Blasphemous_Rumours.mid,0,Acoustic Grand Piano,276,48.26086956521739,110.00011000011
Depeche Mode,Boys Say Go!.mid,Depeche_Mode__Boys_Say_Go!.mid,32,Acoustic Bass,510,35.66274509803922,137.0000639333632
Depeche Mode,But Not Tonight.mid,Depeche_Mode__But_Not_Tonight.mid,38,Synth Bass 1,1060,42.69056603773585,128.0000725334107
Depeche Mode,Dream On.mid,Depeche_Mode__Dream_On.mid,39,Synth Bass 2,649,30.956856702619415,126.99998518333504
Depeche Mode,Dreaming of Me.1.mid,Depeche_Mode__Dreaming_of_Me.1.mid,99,FX 4 (atmosphere),940,48.92553191489362,135.000135000135
Depeche Mode,Dreaming of Me.2.mid,Depeche_Mode__Dreaming_of_Me.2.mid,38,Synth Bass 1,936,35.379273504273506,130.00013000013
Depeche Mode,Dreaming of Me.mid,Depeche_Mode__Dreaming_of_Me.mid,99,FX 4 (atmosphere),940,48.92553191489362,135.000135000135
Depeche Mode,Enjoy the Silence.1.mid,Depeche_Mode__Enjoy_the_Silence.1.mid,54,Synth Choir,932,37.28648068669528,120.0
Depeche Mode,Enjoy the Silence.mid,Depeche_Mode__Enjoy_the_Silence.mid,33,Electric Bass (finger),1399,34.20157255182273,115.00201253521936
Depeche Mode,Everything Counts.1.mid,Depeche_Mode__Everything_Counts.1.mid,38,Synth Bass 1,635,43.725984251968505,108.000108000108
