artist,song,has_drums,n_drum_tracks,n_drum_notes,n_total_tracks
ABC,Poison Arrow.mid,True,1,2263,14
ABC,4 Ever 2 Gether.mid,True,1,3214,11
ABC,"Look of Love, Part 1.mid",True,1,1714,16
Bronski Beat,Small Town Boy.mid,True,1,2931,12
Culture Club,Do You Really Want to Hurt Me.mid,True,1,1538,16
Culture Club,Do You Really Want to Hurt Me.1.mid,True,1,1538,16
Culture Club,Karma Chameleon.mid,True,1,2982,15
Culture Club,Church of the Poison Mind.mid,True,2,2533,14
Depeche Mode,Shout.mid,True,1,3007,11
Depeche Mode,Somebody.1.mid,False,0,0,2
Depeche Mode,Fly on the Windscreen (Final).mid,True,2,2365,15
Depeche Mode,People Are People.mid,True,1,990,16
Depeche Mode,New Life.mid,True,1,3152,14
Depeche Mode,Somebody.3.mid,False,0,0,2
Depeche Mode,Somebody.2.mid,False,0,0,2
Depeche Mode,Master and Servant.1.mid,True,1,1180,6
Depeche Mode,Just Can't Get Enough.mid,True,1,1377,9
Depeche Mode,Strange Love.1.mid,True,4,1033,7
Depeche Mode,Everything Counts.mid,True,1,1908,8
Depeche Mode,A Question of Lust.mid,False,0,0,7
Depeche Mode,Dream On.mid,True,1,2856,9
Depeche Mode,Ice Machine.1.mid,True,1,1529,8
Depeche Mode,Barrel Of A Gun.mid,True,4,2170,14
Depeche Mode,Master and Servant.2.mid,True,1,1924,10
Depeche Mode,No Disco.mid,True,1,765,11
Depeche Mode,It's No Good.mid,True,3,4501,18
Depeche Mode,Shake the Disease.1.mid,True,1,1529,4
Depeche Mode,Black Celebration.2.mid,True,10,3185,15
Depeche Mode,Dreaming of Me.1.mid,True,2,1334,9
Depeche Mode,Black Celebration.3.mid,True,10,3185,15
Depeche Mode,Black Celebration.1.mid,True,1,3185,6
Depeche Mode,Any Second Now (Voices).mid,True,1,48,12
Depeche Mode,Dreaming of Me.2.mid,True,2,1713,13
Depeche Mode,Walking in My Shoes.mid,True,1,3557,14
Depeche Mode,Strangelove.1.mid,True,4,1033,7
Depeche Mode,Puppets.mid,True,1,1908,12
Depeche Mode,Strange Love.mid,True,1,1033,4
Depeche Mode,But Not Tonight.mid,True,1,1536,12
