artist,song,original_path,drum_path,n_drum_tracks_merged,n_notes,n_unique_drums,bpm,duration
ABC,4 Ever 2 Gether.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/ABC/4 Ever 2 Gether.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/ABC__4_Ever_2_Gether.mid,1,3214,13,89.99995500002248,207.43065927083336
ABC,"Look of Love, Part 1.mid","/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/ABC/Look of Love, Part 1.mid","/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/ABC__Look_of_Love,_Part_1.mid",1,1714,14,120.99994353335967,208.12819630000004
ABC,Poison Arrow.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/ABC/Poison Arrow.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/ABC__Poison_Arrow.mid,1,2263,15,126.00012600012602,202.93630499999998
Bronski Beat,Small Town Boy.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Bronski Beat/Small Town Boy.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Bronski_Beat__Small_Town_Boy.mid,1,2931,9,126.99998518333504,310.5516879083333
Culture Club,Church of the Poison Mind.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Culture Club/Church of the Poison Mind.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Culture_Club__Church_of_the_Poison_Mind.mid,2,2533,7,130.00013000013,238.10913689062497
Culture Club,Do You Really Want to Hurt Me.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Culture Club/Do You Really Want to Hurt Me.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Culture_Club__Do_You_Really_Want_to_Hurt_Me.1.mid,1,1538,13,82.00000693333426,256.365352
Culture Club,Do You Really Want to Hurt Me.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Culture Club/Do You Really Want to Hurt Me.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Culture_Club__Do_You_Really_Want_to_Hurt_Me.mid,1,1538,13,104.00001386666852,258.68346066666663
Depeche Mode,Barrel Of A Gun.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Barrel Of A Gun.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Barrel_Of_A_Gun.mid,4,2170,7,82.9999502000299,301.25018074999997
Depeche Mode,Black Celebration.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Black Celebration.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Black_Celebration.1.mid,1,3185,11,120.0,316.0
Depeche Mode,Black Celebration.2.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Black Celebration.2.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Black_Celebration.2.mid,10,3185,11,120.0,315.875
