artist,song,bpm,has_drums,n_drum_notes,n_total_tracks,filepath
ABC,4 Ever 2 Gether.mid,89.99995500002248,True,3214,11,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/ABC/4 Ever 2 Gether.mid
ABC,"Look of Love, Part 1.mid",120.99994353335967,True,1714,16,"/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/ABC/Look of Love, Part 1.mid"
ABC,Poison Arrow.mid,126.00012600012602,True,2263,14,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/ABC/Poison Arrow.mid
Bronski Beat,Small Town Boy.mid,126.99998518333504,True,2931,12,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Bronski Beat/Small Town Boy.mid
Culture Club,Church of the Poison Mind.mid,130.00013000013,True,2533,14,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Culture Club/Church of the Poison Mind.mid
Culture Club,Do You Really Want to Hurt Me.1.mid,82.00000693333426,True,1538,16,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Culture Club/Do You Really Want to Hurt Me.1.mid
Culture Club,Do You Really Want to Hurt Me.mid,104.00001386666852,True,1538,16,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Culture Club/Do You Really Want to Hurt Me.mid
Depeche Mode,Barrel Of A Gun.mid,82.9999502000299,True,2170,14,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Barrel Of A Gun.mid
Depeche Mode,Black Celebration.1.mid,120.0,True,3185,6,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Black Celebration.1.mid
Depeche Mode,Black Celebration.2.mid,120.0,True,3185,15,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Black Celebration.2.mid
Depeche Mode,Black Celebration.3.mid,120.0,True,3185,15,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Black Celebration.3.mid
