artist,song,bpm
ABC,Poison Arrow.mid,126.00012600012602
ABC,4 Ever 2 Gether.mid,89.99995500002248
ABC,"Look of Love, Part 1.mid",120.99994353335967
Bronski Beat,Small Town Boy.mid,126.99998518333504
Culture Club,Do You Really Want to Hurt Me.mid,104.00001386666852
Culture Club,Do You Really Want to Hurt Me.1.mid,82.00000693333426
Culture Club,Karma Chameleon.mid,183.00494113341057
Culture Club,Church of the Poison Mind.mid,130.00013000013
Depeche Mode,Shout.mid,118.50002666250599
Depeche Mode,Somebody.1.mid,77.40007972208211
Depeche Mode,Fly on the Windscreen (Final).mid,94.99999208333399
Depeche Mode,People Are People.mid,120.0
Depeche Mode,New Life.mid,159.0002067002687
Depeche Mode,Somebody.3.mid,77.40007972208211
Depeche Mode,Somebody.2.mid,77.40007972208211
Depeche Mode,Master and Servant.1.mid,126.00012600012599
Depeche Mode,Just Can't Get Enough.mid,130.00013000013
Depeche Mode,Strange Love.1.mid,120.0
Depeche Mode,Everything Counts.mid,108.000108000108
Depeche Mode,A Question of Lust.mid,94.99999208333399
Depeche Mode,Dream On.mid,126.99998518333504
Depeche Mode,Ice Machine.1.mid,135.000135000135
Depeche Mode,Barrel Of A Gun.mid,82.9999502000299
Depeche Mode,Master and Servant.2.mid,126.00012600012602
Depeche Mode,No Disco.mid,123.00022140039853
Depeche Mode,It's No Good.mid,99.19995238402284
Depeche Mode,Shake the Disease.1.mid,120.0
Depeche Mode,Black Celebration.2.mid,120.0
Depeche Mode,Dreaming of Me.1.mid,135.000135000135
Depeche Mode,Black Celebration.3.mid,120.0
Depeche Mode,Black Celebration.1.mid,120.0
Depeche Mode,Any Second Now (Voices).mid,172.00010320006191
Depeche Mode,Dreaming of Me.2.mid,130.00013000013
Depeche Mode,Walking in My Shoes.mid,94.00115934763195
Depeche Mode,Strangelove.1.mid,120.0
Depeche Mode,Puppets.mid,120.0
Depeche Mode,Strange Love.mid,120.0
Depeche Mode,But Not Tonight.mid,128.0000725334107
Depeche Mode,Photographic.mid,150.0
Depeche Mode,Somebody.mid,90.00009000009
Depeche Mode,Shout (Rio mix).mid,118.50002666250599
Depeche Mode,New Life.1.mid,149.00020860029207
Depeche Mode,New Life (remix).mid,159.0002067002687
Depeche Mode,Dreaming of Me.mid,135.000135000135
Depeche Mode,Tora! Tora! Tora!.1.mid,118.00013373348487
Depeche Mode,Black Celebration.mid,120.0
Depeche Mode,Just Can't Get Enough.3.mid,130.0023833770286
Depeche Mode,Just Can't Get Enough.2.mid,128.0
Depeche Mode,In Your Room.mid,99.000099000099
Depeche Mode,Boys Say Go!.mid,137.0000639333632
Depeche Mode,Enjoy the Silence.1.mid,120.0
Depeche Mode,Just Can't Get Enough.1.mid,130.00013000013
Depeche Mode,The Things You Said.mid,115.0000287500072
Depeche Mode,Everything Counts.2.mid,109.00014170018422
Depeche Mode,Enjoy the Silence.mid,115.00201253521936
Depeche Mode,Pipeline.mid,80.0
Depeche Mode,Blasphemous Rumours.mid,110.00011000011
Depeche Mode,Policy of Truth.1.mid,110.00011000011
Depeche Mode,Blasphemous Rumours.1.mid,109.99990833340973
Depeche Mode,Never Let Me Down Again.mid,109.00014170018423
Depeche Mode,Everything Counts.1.mid,108.000108000108
Depeche Mode,Strangelove.mid,120.0
Depeche Mode,The Things You Said.1.mid,110.00011000011
Depeche Mode,Blasphemous Rumours.2.mid,110.00011000011
Depeche Mode,Photographic.1.mid,120.0
Depeche Mode,I Sometimes Wish I Was Dead.mid,127.00025400050801
Depeche Mode,Photographic.2.mid,155.00271254746957
Depeche Mode,Personal Jesus.mid,135.06668917778154
Depeche Mode,Photographic.3.mid,146.00032120070665
Depeche Mode,Ice Machine.mid,112.00005973336519
Depeche Mode,Tora! Tora! Tora!.mid,125.0
Depeche Mode,Master and Servant.mid,126.00012600012602
Depeche Mode,Policy of Truth.mid,120.0
Depeche Mode,Puppets.1.mid,120.0
Duran Duran,New Moon on Monday.mid,120.0
Duran Duran,Come Undone.mid,87.00065250489381
Duran Duran,Downtown.mid,120.0
Duran Duran,Hungry Like a Wolf.1.mid,120.0
Duran Duran,New Moon on Monday.1.mid,120.0
Duran Duran,Rio.mid,131.00007641671124
Duran Duran,Save a Prayer.mid,113.00009605008167
Duran Duran,A View To A Kill.3.mid,126.99998518333504
Duran Duran,Girls on Film.1.mid,105.00157502362535
Duran Duran,Notorious.2.mid,107.00012661681652
Duran Duran,Hungry Like a Wolf.mid,120.0
Duran Duran,A View To A Kill.2.mid,126.99003974788243
Duran Duran,Ordinary World.mid,138.000828004968
Duran Duran,Notorious.1.mid,107.00012661681652
Duran Duran,A View To A Kill.1.mid,126.99998518333504
Duran Duran,The Reflex.1.mid,122.99996925000767
Duran Duran,The Reflex.2.mid,122.99996925000767
Duran Duran,The Wild Boys.1.mid,116.99988885010558
Duran Duran,The Reflex.mid,123.00022140039853
Duran Duran,The Wild Boys.mid,116.99988885010558
Duran Duran,Rio.1.mid,131.00007641671124
Duran Duran,Notorius.mid,107.00012661681652
Duran Duran,"Wild Boys, Relax.1.mid",117.99990166674861
Duran Duran,"Wild Boys, Relax.mid",117.99990166674861
Duran Duran,Notorious.mid,107.00146235331883
Duran Duran,Ordinary World.1.mid,69.99998833333528
Duran Duran,A View To A Kill.mid,126.99003974788243
Duran Duran,Save a Prayer.1.mid,113.00009605008167
Duran Duran,The Chauffeur.1.mid,82.00003553334875
Duran Duran,Hungry Like The Wolf (Night Version).mid,134.00005806669182
Duran Duran,Ordinary World.2.mid,70.00023333411112
Duran Duran,Come Undone.4.mid,100.05002501250625
Duran Duran,Union of the Snake.mid,117.50001437500359
Duran Duran,Come Undone.5.mid,100.04935768312367
Duran Duran,Ordinary World.3.mid,69.99998833333528
Duran Duran,Girls On Film.mid,132.20023046906846
Duran Duran,Come Undone.1.mid,85.00004500004499
Duran Duran,The Chauffeur.mid,89.99995500002248
Duran Duran,Union of the Snake.1.mid,107.50001437500359
Duran Duran,Come Undone.2.mid,100.05002501250625
Duran Duran,Come Undone.3.mid,100.05002501250625
Erasure,So the Story Goes.mid,97.5000975000975
Erasure,Magic Moments.mid,156.00015600015604
Erasure,Blue Savannah.2.mid,135.00135001350014
Erasure,Siren Song.mid,92.00012880018032
Erasure,Magic Moments.1.mid,156.00015600015604
Erasure,Man in the Moon.1.mid,118.00013373348487
Erasure,A Little Respect.4.mid,114.00017100025649
Erasure,Blue Savannah.1.mid,135.000135000135
Erasure,A Little Respect.mid,114.00017100025649
Erasure,I Love Saturday.mid,130.00013000013
Erasure,A Little Respect.1.mid,113.99995440001827
Erasure,Home.1.mid,107.50001437500359
Erasure,Sometimes.mid,108.000108000108
Erasure,A Little Respect.2.mid,114.00125401379417
Erasure,A Little Respect.3.mid,114.00017100025649
Erasure,Take Me Back.1.mid,83.00032168874807
Erasure,Man in the Moon.mid,118.00013373348487
Erasure,Blue Savannah.mid,135.000135000135
Erasure,Fingers & Thumbs (Cold Summer's Day).1.mid,125.0
Erasure,Sometimes (12'' mix).mid,130.00013000013
Erasure,Breath of Life.1.mid,132.9999468000213
Erasure,Take Me Back.mid,81.50005826671487
Erasure,Abba-Esque (Take a Chance On Me).mid,122.00180562672327
Erasure,Breath of Life.2.mid,132.9999468000213
Erasure,Home.mid,107.50001437500359
Erasure,Fingers & Thumbs (Cold Summer's Day).mid,125.0
Erasure,Chains of Love.mid,105.50012140014206
Erasure,Miracle.mid,120.0
Erasure,Always.3.mid,104.00001386666852
Erasure,Always.2.mid,104.00001386666852
Erasure,Oh L'Amour.mid,82.00003553334875
Erasure,Always.1.mid,104.00001386666852
Erasure,Chains of Love.3.mid,105.50151185504536
Erasure,Stop!.1.mid,120.0
Erasure,Star.mid,123.00022140039853
Erasure,Chains of Love.2.mid,105.50012140014206
Erasure,Stop!.mid,120.0
Erasure,Glass Angel.mid,120.0
Erasure,Always.mid,103.00075533887248
Erasure,Breath of Life.mid,132.000132000132
Erasure,Chains of Love.1.mid,105.50012140014206
Erasure,Oh Lamour.mid,82.00003553334875
