artist,song,original_path,melody_path,instrument_program,instrument_name,track_name,n_notes,avg_pitch,bpm
ABC,4 Ever 2 Gether.mid,data/clean_midi/ABC/4 Ever 2 Gether.mid,synthpop_data/processed/melodies_all/ABC__4_Ever_2_Gether.mid,75,Pan Flute,,564,72.04432624113475,89.99995500002248
ABC,"Look of Love, Part 1.mid","data/clean_midi/ABC/Look of Love, Part 1.mid","synthpop_data/processed/melodies_all/ABC__Look_of_Love,_Part_1.mid",62,Synth Brass 1,Vocals,350,60.94571428571429,120.99994353335968
ABC,Poison Arrow.mid,data/clean_midi/ABC/Poison Arrow.mid,synthpop_data/processed/melodies_all/ABC__Poison_Arrow.mid,71,Clarinet,Melody & Lyric,339,61.21828908554572,126.00012600012602
Bronski Beat,Small Town Boy.mid,data/clean_midi/Bronski Beat/Small Town Boy.mid,synthpop_data/processed/melodies_all/Bronski_Beat__Small_Town_Boy.mid,73,Flute,Vocal,607,75.75288303130148,126.99998518333504
Culture Club,Church of the Poison Mind.mid,data/clean_midi/Culture Club/Church of the Poison Mind.mid,synthpop_data/processed/melodies_all/Culture_Club__Church_of_the_Poison_Mind.mid,61,Brass Section,,75,72.92,130.00013000013
Culture Club,Do You Really Want to Hurt Me.1.mid,data/clean_midi/Culture Club/Do You Really Want to Hurt Me.1.mid,synthpop_data/processed/melodies_all/Culture_Club__Do_You_Really_Want_to_Hurt_Me.1.mid,75,Pan Flute,,306,72.30718954248366,82.00000693333426
Culture Club,Do You Really Want to Hurt Me.mid,data/clean_midi/Culture Club/Do You Really Want to Hurt Me.mid,synthpop_data/processed/melodies_all/Culture_Club__Do_You_Really_Want_to_Hurt_Me.mid,75,Pan Flute,untitled,306,72.30718954248366,104.00001386666852
Depeche Mode,Barrel Of A Gun.mid,data/clean_midi/Depeche Mode/Barrel Of A Gun.mid,synthpop_data/processed/melodies_all/Depeche_Mode__Barrel_Of_A_Gun.mid,107,Koto,Strange sound,226,68.34955752212389,82.9999502000299
Depeche Mode,Black Celebration.1.mid,data/clean_midi/Depeche Mode/Black Celebration.1.mid,synthpop_data/processed/melodies_all/Depeche_Mode__Black_Celebration.1.mid,52,Choir Aahs,CHOIR AAHS,185,65.78918918918919,120.0
Depeche Mode,Black Celebration.2.mid,data/clean_midi/Depeche Mode/Black Celebration.2.mid,synthpop_data/processed/melodies_all/Depeche_Mode__Black_Celebration.2.mid,52,Choir Aahs,ch. aahs (harm 1)   ,185,65.78918918918919,120.0
Depeche Mode,Black Celebration.3.mid,data/clean_midi/Depeche Mode/Black Celebration.3.mid,synthpop_data/processed/melodies_all/Depeche_Mode__Black_Celebration.3.mid,44,Tremolo Strings,Dr. Solo (Harm)     ,185,65.78918918918919,120.0
Depeche Mode,Black Celebration.mid,data/clean_midi/Depeche Mode/Black Celebration.mid,synthpop_data/processed/melodies_all/Depeche_Mode__Black_Celebration.mid,44,Tremolo Strings,Dr. Solo (Harm)     ,185,65.78918918918919,120.0
Depeche Mode,Blasphemous Rumours.1.mid,data/clean_midi/Depeche Mode/Blasphemous Rumours.1.mid,synthpop_data/processed/melodies_all/Depeche_Mode__Blasphemous_Rumours.1.mid,62,Synth Brass 1,Piano,356,65.50561797752809,109.99990833340972
Depeche Mode,Blasphemous Rumours.2.mid,data/clean_midi/Depeche Mode/Blasphemous Rumours.2.mid,synthpop_data/processed/melodies_all/Depeche_Mode__Blasphemous_Rumours.2.mid,93,Pad 6 (metallic),Piano,356,65.50561797752809,110.00011000011
Depeche Mode,Blasphemous Rumours.mid,data/clean_midi/Depeche Mode/Blasphemous Rumours.mid,synthpop_data/processed/melodies_all/Depeche_Mode__Blasphemous_Rumours.mid,0,Acoustic Grand Piano,Piano,356,65.50561797752809,110.00011000011
Depeche Mode,Boys Say Go!.mid,data/clean_midi/Depeche Mode/Boys Say Go!.mid,synthpop_data/processed/melodies_all/Depeche_Mode__Boys_Say_Go!.mid,80,Lead 1 (square),Vocal,438,67.97945205479452,137.0000639333632
Depeche Mode,But Not Tonight.mid,data/clean_midi/Depeche Mode/But Not Tonight.mid,synthpop_data/processed/melodies_all/Depeche_Mode__But_Not_Tonight.mid,0,Acoustic Grand Piano,,660,57.18939393939394,128.0000725334107
Depeche Mode,Dream On.mid,data/clean_midi/Depeche Mode/Dream On.mid,synthpop_data/processed/melodies_all/Depeche_Mode__Dream_On.mid,80,Lead 1 (square),Depeche Mode - Dream on,326,64.7638036809816,126.99998518333504
Depeche Mode,Dreaming of Me.1.mid,data/clean_midi/Depeche Mode/Dreaming of Me.1.mid,synthpop_data/processed/melodies_all/Depeche_Mode__Dreaming_of_Me.1.mid,68,Oboe,Vocal,171,69.91812865497076,135.000135000135
Depeche Mode,Dreaming of Me.2.mid,data/clean_midi/Depeche Mode/Dreaming of Me.2.mid,synthpop_data/processed/melodies_all/Depeche_Mode__Dreaming_of_Me.2.mid,80,Lead 1 (square),Vocal 1,275,66.94909090909091,130.00013000013
Depeche Mode,Dreaming of Me.mid,data/clean_midi/Depeche Mode/Dreaming of Me.mid,synthpop_data/processed/melodies_all/Depeche_Mode__Dreaming_of_Me.mid,68,Oboe,Lyric,175,69.95428571428572,135.000135000135
Depeche Mode,Enjoy the Silence.1.mid,data/clean_midi/Depeche Mode/Enjoy the Silence.1.mid,synthpop_data/processed/melodies_all/Depeche_Mode__Enjoy_the_Silence.1.mid,61,Brass Section,,133,66.61654135338345,120.0
