artist,song,bpm,has_drums,n_drum_notes,n_total_tracks
ABC,4 Ever 2 Gether.mid,89.99995500002248,True,3214,11
ABC,"Look of Love, Part 1.mid",120.99994353335967,True,1714,16
ABC,Poison Arrow.mid,126.00012600012602,True,2263,14
Bronski Beat,Small Town Boy.mid,126.99998518333504,True,2931,12
Culture Club,Church of the Poison Mind.mid,130.00013000013,True,2533,14
Culture Club,Do You Really Want to Hurt Me.1.mid,82.00000693333426,True,1538,16
Culture Club,Do You Really Want to Hurt Me.mid,104.00001386666852,True,1538,16
Culture Club,Karma Chameleon.mid,183.00494113341057,True,2982,15
Depeche Mode,A Question of Lust.mid,94.99999208333399,False,0,7
Depeche Mode,Any Second Now (Voices).mid,172.00010320006191,True,48,12
Depeche Mode,Barrel Of A Gun.mid,82.9999502000299,True,2170,14
Depeche Mode,Big Muff.mid,,True,872,14
Depeche Mode,Black Celebration.1.mid,120.0,True,3185,6
Depeche Mode,Black Celebration.2.mid,120.0,True,3185,15
Depeche Mode,Black Celebration.3.mid,120.0,True,3185,15
Depeche Mode,Black Celebration.mid,120.0,True,3185,15
Depeche Mode,Blasphemous Rumours.1.mid,109.99990833340973,True,988,4
Depeche Mode,Blasphemous Rumours.2.mid,110.00011000011,True,988,5
Depeche Mode,Blasphemous Rumours.mid,110.00011000011,True,988,4
Depeche Mode,Boys Say Go!.mid,137.0000639333632,True,1827,10
Depeche Mode,But Not Tonight.mid,128.0000725334107,True,1536,12
Depeche Mode,Dream On.mid,126.99998518333504,True,2856,9
Depeche Mode,Dreaming of Me.1.mid,135.000135000135,True,1334,9
Depeche Mode,Dreaming of Me.2.mid,130.00013000013,True,1713,13
Depeche Mode,Dreaming of Me.mid,135.000135000135,True,1334,9
Depeche Mode,Enjoy the Silence.1.mid,120.0,True,2517,15
Depeche Mode,Enjoy the Silence.mid,115.00201253521936,True,1826,9
Depeche Mode,Everything Counts.1.mid,108.000108000108,True,1908,4
Depeche Mode,Everything Counts.2.mid,109.00014170018422,True,1836,17
Depeche Mode,Everything Counts.mid,108.000108000108,True,1908,8
Depeche Mode,Fly on the Windscreen (Final).mid,94.99999208333399,True,2365,15
Depeche Mode,I Sometimes Wish I Was Dead.mid,127.00025400050801,True,276,16
Depeche Mode,Ice Machine.1.mid,135.000135000135,True,1529,8
Depeche Mode,Ice Machine.mid,112.00005973336519,True,907,5
Depeche Mode,In Your Room.mid,99.000099000099,True,3141,15
Depeche Mode,It's No Good.mid,99.19995238402284,True,4501,18
Depeche Mode,Just Can't Get Enough.1.mid,130.00013000013,True,888,11
Depeche Mode,Just Can't Get Enough.2.mid,128.0,True,1252,13
Depeche Mode,Just Can't Get Enough.3.mid,130.0023833770286,True,1377,9
Depeche Mode,Just Can't Get Enough.mid,130.00013000013,True,1377,9
Depeche Mode,Master and Servant.1.mid,126.00012600012599,True,1180,6
Depeche Mode,Master and Servant.2.mid,126.00012600012602,True,1924,10
Depeche Mode,Master and Servant.mid,126.00012600012602,True,1180,5
Depeche Mode,Never Let Me Down Again.mid,109.00014170018423,True,3107,12
Depeche Mode,New Life (remix).mid,159.0002067002687,True,3636,16
Depeche Mode,New Life.1.mid,149.00020860029207,False,0,11
Depeche Mode,New Life.mid,159.0002067002687,True,3152,14
Depeche Mode,No Disco.mid,123.00022140039853,True,765,11
Depeche Mode,People Are People.mid,120.0,True,990,16
Depeche Mode,Personal Jesus.mid,135.06668917778154,True,4260,6
Depeche Mode,Photographic.1.mid,120.0,True,1696,7
Depeche Mode,Photographic.2.mid,155.00271254746957,True,856,9
Depeche Mode,Photographic.3.mid,146.00032120070665,True,856,10
Depeche Mode,Photographic.mid,150.0,True,824,11
Depeche Mode,Pipeline.mid,80.0,True,504,10
Depeche Mode,Policy of Truth.1.mid,110.00011000011,True,308,10
Depeche Mode,Policy of Truth.mid,120.0,True,1748,6
Depeche Mode,Puppets.1.mid,120.0,True,1120,16
Depeche Mode,Puppets.mid,120.0,True,1908,12
Depeche Mode,Shake the Disease.1.mid,120.0,True,1529,4
Depeche Mode,Shout (Rio mix).mid,118.50002666250599,True,5766,16
Depeche Mode,Shout.mid,118.50002666250599,True,3007,11
Depeche Mode,Somebody.1.mid,77.40007972208211,False,0,2
